id	altmetric_id	authors	journal	type	altmetric_score	date	males	females	unknown	percmales	percfemales	percunknown	firstgender	lastgender
387	3061952	['Yu-yu Ren', 'Lauren G Koch', 'Steven L Britton', 'Nathan R Qi', 'Mary K Treutelaar', 'Charles F Burant', 'Jun Z Li']	bioRxiv	article	1.5	2015-01-13T00:00:00+00:00	4	2	1	0.571428571428571	0.285714285714286	0.142857142857143		male
2021	3096387	['Maria Botcharova', 'Luc Berthouze', 'Matthew J Brookes', 'Gareth R Barnes', 'Simon F Farmer']	bioRxiv	article	1.75	2015-01-22T00:00:00+00:00	4	1	0	0.8	0.2	0	female	male
2459	3740314	['Michal Komorowski', 'Jorg Schumacher', 'Volker Behrends', 'Tomasz Jetka', 'Mark H Bennett', 'Angelique Ale', 'Sarah Filippi', 'John W Pinney', 'Jake G Bundy', 'Martin Buck', 'Michael PH Stumpf']	bioRxiv	article	3.25	None	6	2	3	0.545454545454545	0.181818181818182	0.272727272727273		male
3361	4623150	['Marie Tolkiehn', 'Simon Schultz']	bioRxiv	article	0.75	2015-10-14T00:00:00+00:00	1	1	0	0.5	0.5	0	female	male
3486	27703499	['Sudhir Varma']	bioRxiv	article	3.5	2017-10-20T00:00:00+00:00	0	0	1	0	0	1		
3535	10223175	['Arjun S Adhikari', 'Kristina B Kooiker', 'Chao Liu', 'Saswata S Sarkar', 'Daniel Bernstein', 'James A Spudich', 'Kathleen M Ruppel']	bioRxiv	article	2	2016-08-02T00:00:00+00:00	2	2	3	0.285714285714286	0.285714285714286	0.428571428571429		female
5493	19773169	['William Conway', 'Won-Ki Cho', 'Namrata Jayanth', 'Susan Mullen', 'Ibrahim I Cissé']	bioRxiv	article	10.05	2017-05-01T00:00:00+00:00	2	1	2	0.4	0.2	0.4	male	male
6364	31774800	['Matt Bawn', 'Justin Bradley', 'Fraser MacMillan']	bioRxiv	article	0.75	2018-01-16T00:00:00+00:00	3	0	0	1	0	0	male	
9715	42423198	['Eloise Bertiaux', 'Adeline Mallet', 'Cecile Fort', 'Thierry Blisnick', 'Serge Bonnefoy', 'Jamin Jung', 'Moara Lemos', 'Sergio Marco', 'Sue Vaughan', 'Sylvain Trepout', 'Jean-Yves Tinevez', 'Philippe Bastin']	bioRxiv	article	8.55	2018-05-23T00:00:00+00:00	7	3	2	0.583333333333333	0.25	0.166666666666667		male
10051	10914020	['Iain Johnston', 'Nick Jones']	bioRxiv	article	14.442	2016-08-30T00:00:00+00:00	2	0	0	1	0	0	male	male
10108	18252210	['Patricia Brasil', 'Mariano Gustavo Zalis', 'Anielle de Pina-Costa', 'Andre Machado Siqueira', 'Cesare Bianco Junior', 'Sidnei Silva', 'Andre Luiz Lisboa Areas', 'Marcelo Pelajo-Machado', 'Denise A M de Alvarenga', 'Ana Carolina Faria da Silva Santelli', 'Hermano Gomes Albuquerque', 'Pedro Cravo', 'Flipe V S de Abreu', 'Cassio Leonel Peterka', 'Graziela Maria Zanini', 'Martha C Suarez-Mutis', 'Alcides Pissinatti', 'Ricardo Lourenco-de-Oliveira', 'Cristiana F A de Brito', 'Maria de Fatima Ferreira-da-Cruz', 'Richard Culleton', 'Claudio Tadeu Daniel-Ribeiro']	bioRxiv	article	48.3	2017-03-29T00:00:00+00:00	13	7	2	0.590909090909091	0.318181818181818	0.0909090909090909	female	male
10749	33660746	['Kate Quigley', 'Marie Strader', 'Mikhail Matz']	bioRxiv	article	9.65	2018-02-25T00:00:00+00:00	0	2	1	0	0.666666666666667	0.333333333333333	female	
13422	37909464	['Sam Guoping Gu', 'Julie Zhouli Ni', 'Natallia Kalinava', 'Sofia Galindo Mendoza']	bioRxiv	article	9.434	2018-04-17T00:00:00+00:00	1	2	1	0.25	0.5	0.25	male	female
15666	27324198	['Dipika Singh', 'Max S. Fairlamb', 'Kelly S. Harrison', 'Chamitha Weeramange', 'Sarah Meinhardt', 'Sudheer Tungtur', 'Benjamin F. Rau', 'P. Scott Hefty', 'Aron W. Fenton', 'Liskin Swint-Kruse']	bioRxiv	article	0.75	2017-10-11T00:00:00+00:00	3	2	5	0.3	0.2	0.5		
15702	31760130	['Christopher Madan', 'Elizabeth A. Kensinger']	bioRxiv	article	27.5	2018-01-16T00:00:00+00:00	1	1	0	0.5	0.5	0	male	female
16094	4990153	['Danny Park', 'Itamar Eskin', 'Eun Yong Kang', 'Eric R Gamazon', 'Celeste Eng', 'Christopher R Gignoux', 'Joshua M Galanter', 'Esteban Burchard', 'Chun J Ye', 'Hugues Aschard', 'Eleazar Eskin', 'Eran Halperin', 'Noah Zaitlen']	bioRxiv	article	14.748	2016-01-13T00:00:00+00:00	6	1	6	0.461538461538462	0.0769230769230769	0.461538461538462	male	male
16616	16906334	['Hamid Safizadeh', 'Scott William Simpkins', 'Justin Nelson', 'Chad L Myers']	bioRxiv	article	2.5	2017-03-01T00:00:00+00:00	6	0	-2	1.5	0	-0.5	male	male
17795	31901042	['Larissa Calancie', 'Thomas C Keyserling', 'Lindsey Smith-Taillie', 'Kimberly Robasky', 'Cam Patterson', 'Alice S Ammerman', 'Jonathan C Schisler']	bioRxiv	article	2.75	2018-01-18T00:00:00+00:00	3	4	0	0.428571428571429	0.571428571428571	0	female	male
18654	43632475	['Lara S Hwa', 'Melanie M Pina', 'Sofia Neira', 'Dipanwita Pati', 'Rachel Calloway', 'Thomas L Kash']	bioRxiv	article	12.6	2018-06-12T00:00:00+00:00	1	4	1	0.166666666666667	0.666666666666667	0.166666666666667	female	male
18762	35017343	"[""Keiron O'Shea"", 'Divya Kattupalli', 'Luis AJ Mur', 'Nigel W Hardy', 'Biswapriya B Misra', 'Chuan Lu']"	bioRxiv	article	4.6	2018-03-30T00:00:00+00:00	3	2	1	0.5	0.333333333333333	0.166666666666667		female
